Date;Price;Open;High;Low;Vol.;Change %
Jan 22, 2018;11,513.08;11289.86;11,513.08;11,273.69;10.78B;1.92%
Jan 19, 2018;11,296.27;11314.46;11,393.04;11,276.57;11.20B;-0.21%
Jan 18, 2018;11,319.91;11287.64;11,375.11;11,279.42;8.96B;0.14%
Jan 17, 2018;11,303.97;11366.60;11,367.16;11,185.92;13.32B;-0.73%
Jan 16, 2018;11,386.91;11283.60;11,402.46;11,283.29;11.70B;0.70%
Jan 15, 2018;11,307.46;11453.33;11,476.58;11,277.31;13.32B;-1.35%
Jan 12, 2018;11,461.99;11459.46;11,496.53;11,420.26;10.22B;-0.02%
Jan 11, 2018;11,464.20;11411.58;11,482.81;11,372.36;10.65B;0.24%
Jan 10, 2018;11,437.08;11439.22;11,446.41;11,345.10;11.38B;-0.09%
Jan 09, 2018;11,447.09;11371.93;11,449.60;11,358.13;10.79B;0.57%
